fg_name,fg_hex,bg_name,bg_hex,contrast_ratio,aa_normal,aa_large,aaa_normal,aaa_large
white,#ffffff,gray-50,#f9fafb,1.05,fail,fail,fail,fail
white,#ffffff,gray-100,#f3f4f6,1.10,fail,fail,fail,fail
white,#ffffff,gray-200,#e5e7eb,1.24,fail,fail,fail,fail
white,#ffffff,gray-300,#d1d5db,1.47,fail,fail,fail,fail
white,#ffffff,gray-400,#9ca3af,2.54,fail,fail,fail,fail
white,#ffffff,gray-500,#6b7280,4.83,pass,pass,fail,pass
white,#ffffff,gray-600,#4b5563,7.56,pass,pass,pass,pass
white,#ffffff,gray-700,#374151,10.31,pass,pass,pass,pass
white,#ffffff,gray-800,#1f2937,14.68,pass,pass,pass,pass
white,#ffffff,gray-900,#111827,17.74,pass,pass,pass,pass
white,#ffffff,black,#000000,21.00,pass,pass,pass,pass
white,#ffffff,red-500,#ef4444,3.76,fail,pass,fail,fail
white,#ffffff,red-700,#b91c1c,6.47,pass,pass,fail,pass
white,#ffffff,orange-500,#f97316,2.80,fail,fail,fail,fail
white,#ffffff,amber-500,#f59e0b,2.15,fail,fail,fail,fail
white,#ffffff,green-500,#22c55e,2.28,fail,fail,fail,fail
white,#ffffff,green-700,#15803d,5.02,pass,pass,fail,pass
white,#ffffff,teal-500,#14b8a6,2.49,fail,fail,fail,fail
white,#ffffff,blue-500,#3b82f6,3.68,fail,pass,fail,fail
white,#ffffff,blue-600,#2563eb,5.17,pass,pass,fail,pass
white,#ffffff,blue-700,#1d4ed8,6.70,pass,pass,fail,pass
white,#ffffff,indigo-500,#6366f1,4.47,fail,pass,fail,fail
white,#ffffff,purple-500,#a855f7,3.96,fail,pass,fail,fail
white,#ffffff,pink-500,#ec4899,3.53,fail,pass,fail,fail
gray-50,#f9fafb,white,#ffffff,1.05,fail,fail,fail,fail
gray-50,#f9fafb,gray-100,#f3f4f6,1.05,fail,fail,fail,fail
gray-50,#f9fafb,gray-200,#e5e7eb,1.18,fail,fail,fail,fail
gray-50,#f9fafb,gray-300,#d1d5db,1.41,fail,fail,fail,fail
gray-50,#f9fafb,gray-400,#9ca3af,2.43,fail,fail,fail,fail
gray-50,#f9fafb,gray-500,#6b7280,4.63,pass,pass,fail,pass
gray-50,#f9fafb,gray-600,#4b5563,7.23,pass,pass,pass,pass
gray-50,#f9fafb,gray-700,#374151,9.86,pass,pass,pass,pass
gray-50,#f9fafb,gray-800,#1f2937,14.05,pass,pass,pass,pass
gray-50,#f9fafb,gray-900,#111827,16.98,pass,pass,pass,pass
gray-50,#f9fafb,black,#000000,20.10,pass,pass,pass,pass
gray-50,#f9fafb,red-500,#ef4444,3.60,fail,pass,fail,fail
gray-50,#f9fafb,red-700,#b91c1c,6.19,pass,pass,fail,pass
gray-50,#f9fafb,orange-500,#f97316,2.68,fail,fail,fail,fail
gray-50,#f9fafb,amber-500,#f59e0b,2.06,fail,fail,fail,fail
gray-50,#f9fafb,green-500,#22c55e,2.18,fail,fail,fail,fail
gray-50,#f9fafb,green-700,#15803d,4.80,pass,pass,fail,pass
gray-50,#f9fafb,teal-500,#14b8a6,2.38,fail,fail,fail,fail
gray-50,#f9fafb,blue-500,#3b82f6,3.52,fail,pass,fail,fail
gray-50,#f9fafb,blue-600,#2563eb,4.95,pass,pass,fail,pass
gray-50,#f9fafb,blue-700,#1d4ed8,6.41,pass,pass,fail,pass
gray-50,#f9fafb,indigo-500,#6366f1,4.27,fail,pass,fail,fail
gray-50,#f9fafb,purple-500,#a855f7,3.79,fail,pass,fail,fail
gray-50,#f9fafb,pink-500,#ec4899,3.38,fail,pass,fail,fail
gray-100,#f3f4f6,white,#ffffff,1.10,fail,fail,fail,fail
gray-100,#f3f4f6,gray-50,#f9fafb,1.05,fail,fail,fail,fail
gray-100,#f3f4f6,gray-200,#e5e7eb,1.13,fail,fail,fail,fail
gray-100,#f3f4f6,gray-300,#d1d5db,1.34,fail,fail,fail,fail
gray-100,#f3f4f6,gray-400,#9ca3af,2.31,fail,fail,fail,fail
gray-100,#f3f4f6,gray-500,#6b7280,4.39,fail,pass,fail,fail
gray-100,#f3f4f6,gray-600,#4b5563,6.87,pass,pass,fail,pass
gray-100,#f3f4f6,gray-700,#374151,9.37,pass,pass,pass,pass
gray-100,#f3f4f6,gray-800,#1f2937,13.34,pass,pass,pass,pass
gray-100,#f3f4f6,gray-900,#111827,16.12,pass,pass,pass,pass
gray-100,#f3f4f6,black,#000000,19.08,pass,pass,pass,pass
gray-100,#f3f4f6,red-500,#ef4444,3.42,fail,pass,fail,fail
gray-100,#f3f4f6,red-700,#b91c1c,5.88,pass,pass,fail,pass
gray-100,#f3f4f6,orange-500,#f97316,2.55,fail,fail,fail,fail
gray-100,#f3f4f6,amber-500,#f59e0b,1.95,fail,fail,fail,fail
gray-100,#f3f4f6,green-500,#22c55e,2.07,fail,fail,fail,fail
gray-100,#f3f4f6,green-700,#15803d,4.56,pass,pass,fail,pass
gray-100,#f3f4f6,teal-500,#14b8a6,2.26,fail,fail,fail,fail
gray-100,#f3f4f6,blue-500,#3b82f6,3.34,fail,pass,fail,fail
gray-100,#f3f4f6,blue-600,#2563eb,4.70,pass,pass,fail,pass
gray-100,#f3f4f6,blue-700,#1d4ed8,6.09,pass,pass,fail,pass
gray-100,#f3f4f6,indigo-500,#6366f1,4.06,fail,pass,fail,fail
gray-100,#f3f4f6,purple-500,#a855f7,3.60,fail,pass,fail,fail
gray-100,#f3f4f6,pink-500,#ec4899,3.21,fail,pass,fail,fail
gray-200,#e5e7eb,white,#ffffff,1.24,fail,fail,fail,fail
gray-200,#e5e7eb,gray-50,#f9fafb,1.18,fail,fail,fail,fail
gray-200,#e5e7eb,gray-100,#f3f4f6,1.13,fail,fail,fail,fail
gray-200,#e5e7eb,gray-300,#d1d5db,1.19,fail,fail,fail,fail
gray-200,#e5e7eb,gray-400,#9ca3af,2.05,fail,fail,fail,fail
gray-200,#e5e7eb,gray-500,#6b7280,3.90,fail,pass,fail,fail
gray-200,#e5e7eb,gray-600,#4b5563,6.10,pass,pass,fail,pass
gray-200,#e5e7eb,gray-700,#374151,8.33,pass,pass,pass,pass
gray-200,#e5e7eb,gray-800,#1f2937,11.86,pass,pass,pass,pass
gray-200,#e5e7eb,gray-900,#111827,14.33,pass,pass,pass,pass
gray-200,#e5e7eb,black,#000000,16.96,pass,pass,pass,pass
gray-200,#e5e7eb,red-500,#ef4444,3.04,fail,pass,fail,fail
gray-200,#e5e7eb,red-700,#b91c1c,5.23,pass,pass,fail,pass
gray-200,#e5e7eb,orange-500,#f97316,2.26,fail,fail,fail,fail
gray-200,#e5e7eb,amber-500,#f59e0b,1.73,fail,fail,fail,fail
gray-200,#e5e7eb,green-500,#22c55e,1.84,fail,fail,fail,fail
gray-200,#e5e7eb,green-700,#15803d,4.05,fail,pass,fail,fail
gray-200,#e5e7eb,teal-500,#14b8a6,2.01,fail,fail,fail,fail
gray-200,#e5e7eb,blue-500,#3b82f6,2.97,fail,fail,fail,fail
gray-200,#e5e7eb,blue-600,#2563eb,4.17,fail,pass,fail,fail
gray-200,#e5e7eb,blue-700,#1d4ed8,5.41,pass,pass,fail,pass
gray-200,#e5e7eb,indigo-500,#6366f1,3.61,fail,pass,fail,fail
gray-200,#e5e7eb,purple-500,#a855f7,3.20,fail,pass,fail,fail
gray-200,#e5e7eb,pink-500,#ec4899,2.85,fail,fail,fail,fail
gray-300,#d1d5db,white,#ffffff,1.47,fail,fail,fail,fail
gray-300,#d1d5db,gray-50,#f9fafb,1.41,fail,fail,fail,fail
gray-300,#d1d5db,gray-100,#f3f4f6,1.34,fail,fail,fail,fail
gray-300,#d1d5db,gray-200,#e5e7eb,1.19,fail,fail,fail,fail
gray-300,#d1d5db,gray-400,#9ca3af,1.72,fail,fail,fail,fail
gray-300,#d1d5db,gray-500,#6b7280,3.28,fail,pass,fail,fail
gray-300,#d1d5db,gray-600,#4b5563,5.13,pass,pass,fail,pass
gray-300,#d1d5db,gray-700,#374151,7.00,pass,pass,fail,pass
gray-300,#d1d5db,gray-800,#1f2937,9.96,pass,pass,pass,pass
gray-300,#d1d5db,gray-900,#111827,12.04,pass,pass,pass,pass
gray-300,#d1d5db,black,#000000,14.25,pass,pass,pass,pass
gray-300,#d1d5db,red-500,#ef4444,2.55,fail,fail,fail,fail
gray-300,#d1d5db,red-700,#b91c1c,4.39,fail,pass,fail,fail
gray-300,#d1d5db,orange-500,#f97316,1.90,fail,fail,fail,fail
gray-300,#d1d5db,amber-500,#f59e0b,1.46,fail,fail,fail,fail
gray-300,#d1d5db,green-500,#22c55e,1.55,fail,fail,fail,fail
gray-300,#d1d5db,green-700,#15803d,3.40,fail,pass,fail,fail
gray-300,#d1d5db,teal-500,#14b8a6,1.69,fail,fail,fail,fail
